shortName,symbol,price,marketCap,averageVolume,revenueGrowth,earningsGrowth,netIncomeToCommon,returnOnEquity,debtToEquity,currentRatio,freeCashflow,forwardPE,pegRatio
Ford Motor Company,F,13.82,55065772032,58413270,0.094,1.727,4705999872.0,0.10295,346.673,1.121,3968624896.0,8.937117,
"Fortinet, Inc.",FTNT,82.08,62895120384,5953040,0.144,-0.114,1873600000.0,2.28043,148.116,1.027,1709100032.0,27.896544,
Fortive Corporation,FTV,52.8,17864159232,3178686,0.023,-0.742,884800000.0,0.103649996,52.244,0.701,1297374976.0,18.590698,
Fox Corporation,FOXA,71.14,31582085120,3391713,0.049,-0.258,2035000064.0,0.17272,60.136,3.238,2113874944.0,14.043663,
Fox Corporation,FOX,64.29,30274975744,1457398,0.049,-0.258,2035000064.0,0.17272,60.136,3.238,2113874944.0,12.7686205,
"Franklin Resources, Inc.",BEN,25.66,13378884608,4296445,0.06,,471700000.0,0.03818,23.699,4.097,688124992.0,9.134338,
"Freeport-McMoRan, Inc.",FCX,63.63,91368267776,17061161,-0.015,0.477,2204000000.0,0.13946,33.768,2.291,1371124992.0,19.117294,
Garmin Ltd.,GRMN,204.48,39361163264,1041805,0.117,0.005,1570939008.0,0.19655001,2.342,3.316,908814848.0,23.450373,
"Gartner, Inc.",IT,225.98,17114773504,952496,0.027,-0.912,885651968.0,1.0925701,512.089,0.878,1072338112.0,16.790102,
GE Aerospace,GE,292.48,308511965184,4863785,0.176,0.372,8600999936.0,0.44692,108.445,1.041,,34.60651,
GE HealthCare Technologies Inc.,GEHC,79.26,36187107328,3552603,0.058,-0.041,2216000000.0,0.24450001,105.127,1.181,1485250048.0,16.090265,
GE Vernova Inc.,GEV,711.59,193711833088,3176785,0.118,,1704000000.0,0.16723,11.101,1.029,2413625088.0,33.774445,
Gen Digital Inc.,GEN,24.79,15288392704,4809011,0.253,-0.192,570000000.0,0.25027,356.98,0.505,1076625024.0,8.676357,
Generac Holdlings Inc.,GNRC,174.17,10221003776,1112030,-0.05,-0.407,312870016.0,0.11969,56.133,2.183,227941872.0,21.57548,
General Dynamics Corporation,GD,356.68,96442613760,1228131,0.106,0.158,4215000064.0,0.17782,40.419,1.4,3506500096.0,18.83794,
"General Mills, Inc.",GIS,44.35,23664363520,7148893,-0.072,-0.458,2526299904.0,0.27173,147.23,0.657,2478249984.0,11.876421,
General Motors Company,GM,84.9,79199928320,8984066,-0.051,,2214000128.0,0.04318,206.239,1.165,2425125120.0,6.2668576,
Genuine Parts Company,GPC,140.02,19478251520,1098493,0.049,0.0,808499008.0,0.16994,133.159,1.137,259586496.0,16.64713,
"Gilead Sciences, Inc.",GILD,139.72,173365542912,7266811,0.03,1.43,8110000128.0,0.40706003,116.243,1.453,8028000256.0,15.905868,
Global Payments Inc.,GPN,72.01,20163645440,2768486,0.005,1.131,1636066048.0,0.07233,69.198,0.855,2422775808.0,5.2422075,
Globe Life Inc.,GL,138.55,11223040000,507781,0.04,0.375,1150350976.0,0.22277,55.217,0.695,1392902912.0,9.220359,
GoDaddy Inc.,GDDY,103.35,14308706304,1474030,0.103,0.144,828499968.0,3.69454,4217.211,0.569,1217712512.0,9.611271,
"Goldman Sachs Group, Inc. (The)",GS,936.81,283592130560,2166001,0.152,0.173,16300000256.0,0.13885,528.8,2.795,,14.410983,
Halliburton Company,HAL,33.36,28442806272,11838670,0.008,0.001,1283000064.0,0.12274,77.42,2.04,2062625024.0,12.447807,
"The Hartford Insurance Group, I",HIG,130.67,36443901952,1467421,0.07,0.473,3536999936.0,0.20069,23.696,1.785,5675749888.0,9.839949,
"Hasbro, Inc.",HAS,89.875,12612790272,1707983,0.083,0.031,-558300032.0,-0.62839,771.392,1.705,460337504.0,16.986425,
"HCA Healthcare, Inc.",HCA,491.23,114944630784,1245448,0.067,0.394,6784000000.0,,,0.965,6072124928.0,14.899358,
"Healthpeak Properties, Inc.",DOC,17.15,11918389248,7833591,0.008,,-38936000.0,-0.00115,114.248,3.653,1072704256.0,68.6,
"Henry Schein, Inc.",HSIC,75.08,9104831488,1377893,0.052,0.077,391000000.0,0.08347999,70.224,1.396,285124992.0,14.208825,
The Hershey Company,HSY,192.0,38934740992,1759136,0.065,-0.382,1359832960.0,0.31013,125.764,1.363,1231904640.0,27.217287,
Hewlett Packard Enterprise Comp,HPE,21.71,28972711936,24697205,0.144,-0.889,-59000000.0,0.0023,97.265,1.014,-213500000.0,7.9079742,
Hilton Worldwide Holdings Inc.,HLT,296.31,69690261504,1673580,0.035,0.29,1664999936.0,,,0.664,2064125056.0,32.3943,
"Hologic, Inc.",HOLX,75.1,16765692928,2893321,0.062,0.111,565699968.0,0.11116,52.037,3.754,807699968.0,15.101152,
"Home Depot, Inc. (The)",HD,375.3,373615460352,4492233,0.028,-0.014,14581999616.0,1.62909,544.586,1.051,9733999616.0,24.94586,
Honeywell International Inc.,HON,216.64,145987125248,4211023,0.07,0.324,6128999936.0,0.34616002,215.247,1.358,5684125184.0,20.792562,
Hormel Foods Corporation,HRL,24.6,13532639232,4992081,0.015,,478196992.0,0.06002,38.22,2.466,288031264.0,15.806924,
"Host Hotels & Resorts, Inc.",HST,18.44,12844869632,7993310,0.009,0.966,738000000.0,0.109239995,82.827,1.021,1140625024.0,20.279114,
Howmet Aerospace Inc.,HWM,210.84,84863098880,2269195,0.138,0.173,1448000000.0,0.30064,65.176,2.353,910000000.0,47.341156,
HP Inc.,HPQ,19.05,17806069760,14243741,0.042,-0.114,2528999936.0,,,0.767,2394500096.0,5.933969,
Hubbell Inc,HUBB,485.73,25814001664,494087,0.041,0.141,858400000.0,0.24991,58.21,1.358,513700000.0,24.533417,
Humana Inc.,HUM,194.01,23334178816,1560550,0.111,-0.593,1291000064.0,0.07159,69.686,2.024,1578249984.0,16.117884,
Huntington Bancshares Incorpora,HBAN,17.06,26866141184,26621165,0.111,-0.117,2087000064.0,0.10095,,,,8.849557,
"Huntington Ingalls Industries, ",HII,425.39,16692913152,526943,0.161,0.439,569000000.0,0.12387,58.708,1.139,505750016.0,24.099737,
International Business Machines,IBM,294.16,274961727488,4134115,0.091,,7919000064.0,0.30156,237.831,0.932,11757500416.0,22.661213,
IDEX Corporation,IEX,196.4,14786422784,621188,0.101,0.083,478100000.0,0.12197,48.121,2.934,562675008.0,23.642113,
"IDEXX Laboratories, Inc.",IDXX,687.74,55022428160,558996,0.133,0.214,1027425024.0,0.64633006,71.29,1.18,675227520.0,47.301,
Illinois Tool Works Inc.,ITW,258.25,75279876096,1201223,0.023,-0.281,3025999872.0,0.91683,278.654,1.53,2440999936.0,22.930445,
Incyte Corporation,INCY,101.18,19863930880,2195703,0.2,2.907,1188583040.0,0.30389,0.887,3.195,531249760.0,12.843393,
Ingersoll Rand Inc.,IR,85.25,33882826752,2867335,0.051,0.13,545100032.0,0.05382,47.62,2.162,1151687552.0,23.958069,
Insulet Corporation,PODD,258.2,18175352832,756503,0.299,0.148,246200000.0,0.19679001,77.711,2.871,215337504.0,41.775677,
Intel Corporation,INTC,48.78,243664797696,96352450,-0.041,,-267000000.0,0.00022,37.282,2.017,-4504500224.0,49.06605,
"Interactive Brokers Group, Inc.",IBKR,75.45,128260284416,4320711,0.186,0.268,984000000.0,0.23507999,120.995,1.109,,27.574436,
Intercontinental Exchange Inc.,ICE,172.44,98708643840,3376038,0.026,0.246,3161999872.0,0.114930004,67.954,1.012,3630374912.0,22.977999,
International Flavors & Fragran,IFF,72.16,18493677568,2172240,-0.079,-0.31,-472000000.0,-0.03232,46.872,1.444,3429343744.0,16.131775,
International Paper Company,IP,41.49,21908310016,5428571,0.564,,-555000000.0,-0.042779997,61.477,1.313,-416624992.0,20.706486,
Intuit Inc.,INTU,538.7,149974089728,2036455,0.41,-0.185,4118000128.0,0.21987,,1.386,5059874816.0,20.368109,
"Intuitive Surgical, Inc.",ISRG,522.04,187139063808,1843125,0.188,0.171,2856000000.0,0.16690001,,6.463,,45.682022,
Invesco Ltd,IVZ,27.56,12266760192,5080551,0.062,,-726300032.0,-0.01219,14.034,,,9.023403,
Invitation Homes Inc.,INVH,26.21,16067269632,5839775,0.065,0.467,585596992.0,0.06,85.691,1.544,1083813760.0,34.91687,
"IQVIA Holdings, Inc.",IQV,239.76,40831127552,1328836,0.052,0.245,1283000064.0,0.19374001,242.366,0.703,2455624960.0,18.52772,
Iron Mountain Incorporated (Del,IRM,92.24,27265175552,2202235,0.126,,159252992.0,,,0.659,-1208413568.0,40.708244,
"J.B. Hunt Transport Services, I",JBHT,205.06,19525474304,1150836,-0.016,0.24,598281984.0,0.15787,49.755,0.829,,23.187021,
Jabil Inc.,JBL,243.62,26024208384,1217871,0.187,0.534,703000000.0,0.47823003,255.828,0.989,1184875008.0,18.065678,
"Jack Henry & Associates, Inc.",JKHY,179.81,13065929728,794358,0.073,0.209,480543008.0,0.2345,3.17,1.494,303682112.0,26.241972,
Jacobs Solutions Inc.,J,136.7,16233010176,983135,,-0.634,314214016.0,0.06523,58.069,1.301,811144768.0,17.147472,
Johnson & Johnson,JNJ,227.72,548644683776,8802178,0.091,0.486,26804000768.0,0.35557,57.766,,,18.160881,
Johnson Controls International ,JCI,116.74,71452606464,5471771,0.031,1.813,1720999936.0,0.11374,86.383,0.929,2325625088.0,21.727154,
JP Morgan Chase & Co.,JPM,300.77,818774802432,9790903,0.025,-0.037,55680999424.0,0.16134001,,,,13.03217,
Kenvue Inc.,KVUE,17.34,33221789696,44173413,-0.035,0.038,1432999936.0,0.13469,85.659,0.98,1753374976.0,15.725325,
Keurig Dr Pepper Inc.,KDP,26.71,36287754240,14012856,0.107,0.083,1582000000.0,0.06291,73.567,0.625,1392375040.0,12.305862,
KeyCorp,KEY,21.31,23492165632,16466563,1.315,,1684999936.0,0.09482,,,,10.018758,
Keysight Technologies Inc.,KEYS,221.5,38057492480,1208760,0.103,,869000000.0,0.1582,47.237,2.35,1251250048.0,23.87718,
Kimberly-Clark Corporation,KMB,99.54,33036642304,6801773,-0.172,0.123,1620999936.0,1.26603,441.104,0.745,1126499968.0,12.92865,
Kimco Realty Corporation (HC),KIM,20.48,13868955648,4904008,0.056,0.002,561379968.0,0.056700002,78.195,1.587,845290112.0,26.517847,
"Kinder Morgan, Inc.",KMI,30.07,66898542592,13566251,0.131,0.5,3056000000.0,0.09826,98.626,0.637,,20.538776,
KKR & Co. Inc.,KKR,116.77,108119908352,4337926,0.132,0.406,2271944960.0,0.07672,74.351,1.703,,17.304514,
KLA Corporation,KLAC,1627.2,214277062656,1020140,0.13,0.208,4236832000.0,0.99167997,122.127,2.692,2757365760.0,36.651215,
The Kraft Heinz Company,KHC,23.19,27448973312,15652588,-0.023,,-4366000128.0,-0.09693,50.968,1.127,2780375040.0,9.295112,
Kroger Company (The),KR,61.82,40966766592,6708286,0.007,,781000000.0,0.07997,357.991,0.878,2561125120.0,11.663468,
"L3Harris Technologies, Inc.",LHX,360.3,67410255872,1343361,0.069,0.171,1759000064.0,0.091309994,60.629,1.144,2759375104.0,29.069345,
Labcorp Holdings Inc.,LH,268.04,22274123776,830658,0.086,0.56,855200000.0,0.10135999,75.557,1.551,1123149952.0,15.299881,
Lam Research Corporation,LRCX,239.58,302118109184,11469008,0.277,0.443,5810433024.0,0.62261003,43.991,2.207,4278629376.0,39.63033,
"Lamb Weston Holdings, Inc.",LW,45.47,6336357376,2520028,0.011,,392300000.0,0.23164,224.846,1.433,614587520.0,15.000314,
Las Vegas Sands Corp.,LVS,61.26,42052149248,5481708,0.242,0.619,1556000000.0,0.65651,847.509,0.889,1360249984.0,16.21055,
"Leidos Holdings, Inc.",LDOS,187.77,24090390528,865480,0.067,0.052,1404999936.0,0.2929,105.551,1.624,751374976.0,15.282254,
Lennar Corporation,LEN,110.79,27361910784,5978943,-0.058,-0.525,2078178944.0,0.08406,27.53,12.398,,12.371625,
"Lennox International, Inc.",LII,487.49,17097630720,434351,-0.048,0.045,841400000.0,0.92253995,128.035,1.68,299837504.0,18.385387,
Eli Lilly and Company,LLY,1023.8,917792423936,3569868,0.539,4.804,18412099584.0,0.9647,178.516,1.546,1397924992.0,30.76018,
Linde plc,LIN,451.5,211712655360,2840881,0.031,0.27,7093000192.0,0.17979999,64.673,0.823,3498374912.0,25.307259,
"Live Nation Entertainment, Inc.",LYV,147.53,34257829888,3104788,0.111,-0.561,322208000.0,0.5636,473.811,0.921,2466385152.0,77.98764,
Lockheed Martin Corporation,LMT,597.27,139441684480,1568820,0.088,0.022,4200000000.0,0.62776,358.987,1.129,4426500096.0,20.527437,
Loews Corporation,L,102.81,21325508608,793770,0.046,0.334,1452000000.0,0.08182,49.123,0.493,2510125056.0,35.45172,
"Lowe's Companies, Inc.",LOW,269.42,151131553792,3042671,0.032,-0.037,6760999936.0,,,1.04,4762250240.0,20.742472,
lululemon athletica inc.,LULU,180.35,21387554816,4020008,0.071,-0.097,1740715008.0,0.41017,39.156,2.13,884945152.0,14.266447,
LyondellBasell Industries NV,LYB,50.47,16244928512,5614653,-0.102,,-1304999936.0,-0.10584,124.319,1.57,848249984.0,15.147968,
M&T Bank Corporation,MTB,216.89,33893246976,1002458,0.047,0.21,2699000064.0,0.09797,,,,10.355661,
Marathon Petroleum Corporation,MPC,172.01,52294533120,2247670,-0.008,1.412,2879000064.0,0.18887,143.175,1.315,1757750016.0,13.184844,
Marriott International,MAR,312.07,84713848832,1583815,0.056,0.29,2611000064.0,,,0.467,1176875008.0,27.293066,
Marsh,MRSH,178.18,87597563904,2722145,0.115,0.0,4127000064.0,0.28734,139.501,1.123,4722874880.0,17.282936,
"Martin Marietta Materials, Inc.",MLM,650.23,39213514752,420941,0.124,0.157,1184000000.0,0.12523,60.618,2.966,-444750016.0,29.549017,
Masco Corporation,MAS,66.48,13918494720,2449636,-0.033,0.169,827000000.0,5.6387095,1888.69,1.878,648000000.0,15.852993,
Mastercard Incorporated,MA,521.37,471324655616,3131900,0.167,0.229,14250000384.0,1.8486099,239.715,1.122,16258499584.0,27.262772,
"Match Group, Inc.",MTCH,31.365,7547113472,3594273,0.021,0.233,562092992.0,,,1.41,872391488.0,8.27027,
"McCormick & Company, Incorporat",MKC,61.86,16605589504,3172161,0.029,0.064,789400000.0,0.14243001,73.211,0.698,564524992.0,18.598694,
McDonald's Corporation,MCD,312.8,223215452160,3281913,0.03,0.016,8415000064.0,,,1.0,4394500096.0,23.596308,
McKesson Corporation,MCK,826.62,102818627584,710811,0.101,3.77,4032999936.0,,,0.88,6109749760.0,18.870949,
Medtronic plc.,MDT,100.79,129274871808,7153203,0.066,0.081,4764000256.0,0.09822,59.563,2.415,3947000064.0,16.481558,
"Merck & Company, Inc.",MRK,106.9,267013046272,14020308,0.037,0.87,19033999360.0,0.39485002,79.708,1.661,14527875072.0,18.877087,
"Meta Platforms, Inc.",META,668.73,1685552365568,19205158,0.262,-0.826,58527997952.0,0.32643002,26.311,1.978,18617749504.0,20.244644,
"MetLife, Inc.",MET,76.26,50714886144,3609485,-0.059,-0.326,3633999872.0,0.12798001,163.999,1.891,-10518124544.0,7.7436023,
"Mettler-Toledo International, I",MTD,1401.64,28872437760,139440,0.079,0.061,835729024.0,,,1.075,740551360.0,30.625942,
MGM Resorts International,MGM,32.75,8957335552,4578545,0.016,,67177000.0,0.10293,913.283,1.235,726777856.0,15.144018,
Microchip Technology Incorporat,MCHP,80.28,43387072512,8834363,-0.02,-0.816,-242900000.0,-0.02854,80.841,2.252,1032800000.0,30.468527,
"Micron Technology, Inc.",MU,435.28,489911648256,29351955,0.567,1.754,11909000192.0,0.22554001,21.244,2.46,444249984.0,10.172375,
Microsoft Corporation,MSFT,481.63,3580035858432,25180563,0.184,0.127,104912003072.0,0.32241002,33.154,1.401,53327376384.0,25.601309,
Mid-America Apartment Communiti,MAA,132.46,15899360256,1045456,0.006,-0.139,552176000.0,0.09408,87.122,0.04,920064512.0,39.658684,
"Moderna, Inc.",MRNA,45.3,17700233216,12534918,-0.454,,-3116000000.0,-0.29317,7.867,3.925,-1984375040.0,-6.543916,
Molina Healthcare Inc,MOH,187.0,10135400448,1588516,0.116,-0.734,883000000.0,0.19708,91.911,1.678,-186375008.0,13.642266,
Molson Coors Beverage Company,TAP,47.74,9440862208,3374103,-0.023,,-2090099968.0,-0.17295,61.017,0.604,718812480.0,8.647454,
"Mondelez International, Inc.",MDLZ,57.73,74699472896,10908940,0.059,-0.095,3531000064.0,0.13101,83.621,0.611,1953750016.0,18.402815,
"Monolithic Power Systems, Inc.",MPWR,1161.78,55657394176,691748,0.189,0.258,1895154048.0,0.64029,0.528,4.771,490344384.0,55.69658,
Monster Beverage Corporation,MNST,80.92,79060549632,5637916,0.168,0.395,1726952960.0,0.25538,0.779,3.185,1592852480.0,35.626858,
Moody's Corporation,MCO,516.62,92660260864,748456,0.107,0.229,2244000000.0,0.54914004,181.347,1.84,2067750016.0,31.317003,
Morgan Stanley,MS,182.34,289794654208,5853005,0.11,0.207,16248999936.0,0.15729,420.553,,,14.821956,
Mosaic Company (The),MOS,28.14,8931857408,7547113,0.228,2.395,1229200000.0,0.101169996,37.134,1.141,192387504.0,11.16906,
"Motorola Solutions, Inc.",MSI,405.08,67487899648,1482061,0.078,0.012,2116000000.0,1.1517,423.891,1.027,1947500032.0,24.82219,
MSCI Inc.,MSCI,614.87,46201044992,575783,0.095,0.19,1223150976.0,,,0.882,1095833472.0,28.0946,
"Nasdaq, Inc.",NDAQ,98.71,56639328256,3161121,0.029,0.377,1624999936.0,0.14054,79.867,0.986,1804875008.0,25.584867,
"NetApp, Inc.",NTAP,99.33,19828094976,2136071,0.028,0.063,1176999936.0,1.25346,277.789,1.341,1278499968.0,11.639394,
"Netflix, Inc.",NFLX,84.64,359033536512,46335426,0.176,0.327,10981200896.0,0.42762002,63.782,1.186,24817524736.0,22.15933,
Newmont Corporation,NEM,131.95,144940433408,9174930,0.2,1.081,7186999808.0,0.22875999,16.914,2.039,9337749504.0,15.687846,
News Corporation,NWSA,26.59,15553987584,3656031,0.023,-0.052,474000000.0,0.070250005,31.439,1.763,671124992.0,22.381401,
News Corporation,NWS,30.61,17010638848,918843,0.023,-0.052,474000000.0,0.070250005,31.439,1.763,671124992.0,25.765125,
"NextEra Energy, Inc.",NEE,87.57,182374121472,9566328,0.207,0.258,6834999808.0,0.083739996,143.833,0.595,-14304124928.0,19.99598,
"Nike, Inc.",NKE,62.24,92139061248,18534623,0.006,-0.321,2524000000.0,0.17950001,80.099,2.063,2576624896.0,26.798594,
NiSource Inc,NI,44.33,20978399232,3606526,0.183,0.057,893500032.0,0.09073,140.579,0.523,-857825024.0,21.668255,
Nordson Corporation,NDSN,271.94,15180647424,427673,0.01,0.267,484473984.0,0.16215,68.747,1.639,548284864.0,22.622643,
Norfolk Southern Corporation,NSC,284.47,63831261184,1252813,0.017,-0.349,2959000064.0,0.2048,116.353,0.862,1376499968.0,22.343723,
Northern Trust Corporation,NTRS,150.25,28414885888,972845,0.082,0.073,1679200000.0,0.13492,,,,13.621965,
Northrop Grumman Corporation,NOC,689.13,97802444800,836791,0.096,0.153,4182000128.0,0.26167,105.272,1.101,3230874880.0,22.314226,
Norwegian Cruise Line Holdings ,NCLH,20.79,9464804352,17862506,0.047,-0.096,663528000.0,0.39870998,699.717,0.195,-1316698496.0,7.90266,
"NRG Energy, Inc.",NRG,155.11,30003050496,1929078,0.057,,1374000000.0,0.64186996,615.076,1.053,1836625024.0,15.968102,
Nucor Corporation,NUE,173.18,39633739776,1559458,0.086,0.347,1744000000.0,0.09361,32.187,2.938,-808000000.0,12.634374,
NVIDIA Corporation,NVDA,191.52,4662937780224,182348843,0.625,0.667,99198001152.0,1.07359,9.102,4.468,53282873344.0,24.990019,
"NVR, Inc.",NVR,7626.08,21071652864,24340,-0.049,-0.139,1433432960.0,0.348,27.023,6.389,1327048448.0,16.194899,
NXP Semiconductors N.V.,NXPI,240.03,60515065856,2782233,-0.024,-0.111,2060999936.0,0.20872,117.34,2.375,1663374976.0,17.391312,
"O'Reilly Automotive, Inc.",ORLY,101.37,85762301952,5556148,0.078,0.126,2484105984.0,,,0.757,1004949888.0,30.680622,
Occidental Petroleum Corporatio,OXY,44.83,44166983680,9841793,-0.077,-0.334,1460000000.0,0.05955,62.221,0.935,3033125120.0,37.58573,
"Old Dominion Freight Line, Inc.",ODFL,172.72,36300242944,2183713,-0.043,-0.105,1057377024.0,0.25059,1.994,1.204,742697600.0,34.063366,
Omnicom Group Inc.,OMC,76.54,24289142784,4523128,0.04,-0.103,1334599936.0,0.27007,128.056,0.924,1739887488.0,7.6833816,
ON Semiconductor Corporation,ON,64.93,26554681344,9033481,-0.12,-0.326,319100000.0,0.03891,45.833,5.231,1275187456.0,22.174639,
"ONEOK, Inc.",OKE,79.26,49914458112,4231996,0.719,0.262,3339000064.0,0.17847,152.218,0.904,1428625024.0,13.53879,
Oracle Corporation,ORCL,172.8,496476880896,25873765,0.142,0.909,15425000448.0,0.69026,432.511,0.909,-10208000000.0,21.780725,
Otis Worldwide Corporation,OTIS,88.6,34773303296,2601101,0.04,-0.291,1347000064.0,,,0.936,1519374976.0,18.088905,
PACCAR Inc.,PCAR,123.06,64655724544,3210466,-0.19,-0.395,2690899968.0,0.14151,82.453,5.69,539500032.0,18.129131,
Packaging Corporation of Americ,PKG,217.61,19580282880,831191,0.06,-0.049,888200000.0,0.19811001,91.618,3.158,370837504.0,17.516407,
Palantir Technologies Inc.,PLTR,157.35,375033724928,44824848,0.628,2.0,1095366016.0,0.19504,3.52,6.427,1180160000.0,155.4504,
"Palo Alto Networks, Inc.",PANW,183.74,128066781184,5899106,0.157,-0.041,1116899968.0,0.15324001,4.951,0.985,3034449920.0,42.358955,
Paramount Skydance Corporation,PSKY,11.34,12509915136,8929086,-0.004,,-272000000.0,0.01279,111.017,1.336,15016500224.0,11.045957,
Parker-Hannifin Corporation,PH,916.27,115948535808,650975,0.037,0.178,3640999936.0,0.27294,74.953,1.066,3098715904.0,27.482416,
"Paychex, Inc.",PAYX,102.45,36776214528,3232055,0.183,-0.035,1595699968.0,0.40884998,129.814,1.265,2057250048.0,17.333647,
"Paycom Software, Inc.",PAYC,139.65,7856232960,838318,0.092,0.496,453200000.0,0.28557,4.943,1.223,370201504.0,13.897611,
"PayPal Holdings, Inc.",PYPL,54.08,51666866176,15339870,0.073,0.313,4917000192.0,0.24358,60.239,1.34,3125625088.0,9.426695,
Pentair plc.,PNR,105.17,17240649728,1298686,0.029,0.333,654099968.0,0.17966999,44.76,1.462,663275008.0,19.58597,
"Pepsico, Inc.",PEP,148.5,203307974656,7704738,0.027,-0.108,7223000064.0,0.37162,260.19,0.912,7137500160.0,17.356993,
"Pfizer, Inc.",PFE,25.86,147032408064,65637356,-0.059,-0.213,9797000192.0,0.105979994,66.531,1.282,14302749696.0,8.71106,
Pacific Gas & Electric Co.,PCG,14.93,32814804992,22780561,0.052,0.378,2598000128.0,0.0876,185.52,0.941,-3333750016.0,9.161196,
Philip Morris International Inc,PM,178.59,278000107520,5568551,0.094,0.131,8600999936.0,,,0.848,7741749760.0,21.445528,
Phillips 66,PSX,142.08,57417973760,2378701,-0.029,-0.61,1496999936.0,0.056199998,77.483,1.227,162437504.0,12.874568,
Pinnacle West Capital Corporati,PNW,93.68,11212596224,1319848,0.029,0.006,594300992.0,0.087749995,197.565,0.675,-451426880.0,20.035673,
"PNC Financial Services Group, I",PNC,221.39,89511051264,2185251,0.096,0.294,6618999808.0,0.12158,,,,10.864488,
Pool Corporation,POOL,258.48,9645959168,818808,0.013,0.04,410089984.0,0.29307,100.725,2.57,293777248.0,22.312208,
"PPG Industries, Inc.",PPG,113.96,25720772608,2083441,0.05,,1571000064.0,0.21275999,99.56,,,13.046395,
PPL Corporation,PPL,36.7,27148429312,6534795,0.084,0.489,1090000000.0,0.076620005,132.089,0.774,-1277124992.0,18.81646,
Principal Financial Group Inc,PFG,94.05,20951373824,1343663,0.222,,1573500032.0,0.13767,34.137,1.557,1430724992.0,10.026996,
Procter & Gamble Company (The),PG,147.34,344294293504,10604518,0.015,-0.054,16161999872.0,0.31562,68.719,0.724,13253374976.0,20.130615,
Progressive Corporation (The),PGR,212.74,124708192256,3446538,0.142,0.121,10712999936.0,0.34223998,19.455,0.297,15078200320.0,13.152567,
"Prologis, Inc.",PLD,127.13,118086860800,3496648,0.04,0.063,3322349056.0,0.06127,60.666,0.175,,38.557426,
"Prudential Financial, Inc.",PRU,107.69,37900734464,1720755,-0.083,2.234,2584000000.0,0.085,148.723,0.841,-9646874624.0,7.2104297,
Public Service Enterprise Group,PEG,81.45,40656089088,2901353,0.221,0.192,2082000000.0,0.12579,138.209,0.934,-380875008.0,18.522182,
PTC Inc.,PTC,161.91,19339868160,907601,0.427,1.748,733996992.0,0.2085,35.802,1.118,823153024.0,18.573135,
Public Storage,PSA,273.86,48052297728,1145691,0.031,0.213,1693004032.0,0.19933,106.758,0.269,2303450112.0,27.04085,
"PulteGroup, Inc.",PHM,123.27,24320870400,1800400,-0.016,-0.116,2630353920.0,0.21569,16.939,6.449,985862400.0,11.4848175,
"Quanta Services, Inc.",PWR,481.28,71766491136,992408,0.175,0.149,1018048000.0,0.13369,71.612,1.344,708255488.0,38.72038,
QUALCOMM Incorporated,QCOM,152.7,163541696512,8953006,0.1,,5541000192.0,0.2334,73.767,2.816,6856249856.0,12.382812,
Quest Diagnostics Incorporated,DGX,182.74,20434616320,1038573,0.132,0.085,963000000.0,0.14353,86.524,1.128,1000875008.0,17.598482,
"Qnity Electronics, Inc.",Q,102.43,21455314944,2625746,0.112,0.06,805000000.0,,19.676,1.781,,33.005524,
Ralph Lauren Corporation,RL,352.99,21405544448,634691,0.165,0.437,854300032.0,0.34005,111.231,2.04,512962496.0,20.753448,
"Raymond James Financial, Inc.",RJF,168.31,33236158464,1186731,0.07,0.035,2127000064.0,0.17666,48.456,2.118,,12.34327,
RTX Corporation,RTX,199.46,267430379520,4712903,0.121,0.083,6732000256.0,0.109519996,58.843,1.026,6628250112.0,26.56145,
Realty Income Corporation,O,60.07,55150616576,6490780,0.103,0.152,962116992.0,0.02488,73.977,1.362,2043045248.0,37.465775,
Regency Centers Corporation,REG,70.45,12962632704,1247996,0.077,0.074,397808000.0,0.0602,73.101,0.88,606015488.0,29.156267,
"Regeneron Pharmaceuticals, Inc.",REGN,751.13,79610347520,966255,0.009,0.18,4577999872.0,0.15188,8.739,4.063,3511000064.0,16.658863,
Regions Financial Corporation,RF,27.86,24429778944,14573253,0.156,,2060999936.0,0.1165,,,,9.775268,
"Republic Services, Inc.",RSG,217.6,67938160640,1547038,0.033,-0.022,2107000064.0,0.18249,113.763,0.583,1969500032.0,29.802832,
ResMed Inc.,RMD,257.72,37618429952,1032326,0.091,0.123,1437904000.0,0.25413,13.826,2.888,1379738112.0,21.393856,
"Revvity, Inc.",RVTY,111.13,12899144704,1441855,0.022,-0.474,232495008.0,0.0304,45.676,1.753,527812640.0,20.870502,
"Robinhood Markets, Inc.",HOOD,103.4,92976128000,25029505,1.0,2.595,2193999872.0,0.27816,188.794,1.108,,39.655907,
"Rockwell Automation, Inc.",ROK,414.9,46648528896,876251,0.138,-0.412,867000000.0,0.20282,98.275,1.135,1287250048.0,30.421858,
"Rollins, Inc.",ROL,62.83,30230689792,2658580,0.12,0.205,515939008.0,0.36208,59.534,0.773,605310528.0,49.095142,
"Roper Technologies, Inc.",ROP,360.37,38789300224,1101391,0.097,-0.074,1536300032.0,0.07929,46.782,0.518,2166899968.0,15.420072,
"Ross Stores, Inc.",ROST,186.04,60505092096,2645545,0.104,0.068,2085963008.0,0.37425,88.181,1.52,1508112000.0,25.983965,
Royal Caribbean Cruises Ltd.,RCL,291.6,79523102720,2280806,0.052,0.363,4065999872.0,0.46677,203.878,0.165,633249984.0,16.507282,
